settlement_id,aae_range,observation_count,mean_ebc,sd_ebc,median_ebc,total_obs,pct_obs,wt_av_ebc,sum_ebc,wt_percent
Ndirande,bb,231,2.9131052114622684,2.260553886100153,2.180452666666667,913,25.3,0.7370156184999539,3.5483428993376194,20.770698870098915
Ndirande,Mixed,601,3.8323248873499987,2.8232017181498525,3.0419486666666673,913,65.8,2.521669775876299,3.5483428993376194,71.06612431247913
Ndirande,ff,81,3.254578707431085,2.5269250944831225,2.6010900000000006,913,8.9,0.28965750496136655,3.5483428993376194,8.163176817421954
Sunnyside,bb,236,2.315959961035865,1.827881905205381,1.7099330000000004,875,27,0.6253091894796835,4.075903981778163,15.341607463649934
Sunnyside,Mixed,564,4.654637104837015,4.412881946788387,3.1307710000000006,875,64.5,3.0022409326198742,4.075903981778163,73.65828405285714
Sunnyside,ff,75,5.213416973007039,6.0382234670511945,2.333838,875,8.6,0.4483538596786053,4.075903981778163,11.000108483492916
