settlement_id,category,threshold1,threshold2,mean_wt_percent,difference
Bangwe,mean_wt_percent_Mixed,1.21,1.55,38.301789360241386,15.61019088282547
Bangwe,mean_wt_percent_Mixed,1.21,1.57,38.96878007965868,16.277181602242763
Bangwe,mean_wt_percent_Mixed,1.21,1.59,39.31483413790359,16.623235660487673
Bangwe,mean_wt_percent_Mixed,1.21,1.61,40.05733213663375,17.36573365921783
Bangwe,mean_wt_percent_Mixed,1.21,1.6300000000000001,41.00259982099133,18.311001343575413
Bangwe,mean_wt_percent_Mixed,1.21,1.6500000000000001,41.67058494513214,18.978986467716226
Bangwe,mean_wt_percent_Mixed,1.21,1.67,42.22484776547866,19.53324928806274
Bangwe,mean_wt_percent_Mixed,1.21,1.69,43.71202813778104,21.020429660365124
Bangwe,mean_wt_percent_Mixed,1.21,1.71,44.507263164921284,21.815664687505368
Bangwe,mean_wt_percent_Mixed,1.23,1.55,32.598546112209604,9.906947634793688
Bangwe,mean_wt_percent_Mixed,1.23,1.57,33.26509446761663,10.573495990200712
Bangwe,mean_wt_percent_Mixed,1.23,1.59,33.56169887131247,10.870100393896557
Bangwe,mean_wt_percent_Mixed,1.23,1.61,34.354119749051975,11.66252127163606
Bangwe,mean_wt_percent_Mixed,1.23,1.6300000000000001,35.30060411288233,12.609005635466417
Bangwe,mean_wt_percent_Mixed,1.23,1.6500000000000001,35.923111985822224,13.231513508406309
Bangwe,mean_wt_percent_Mixed,1.23,1.67,36.47906405784524,13.787465580429327
Bangwe,mean_wt_percent_Mixed,1.23,1.69,37.969952362847756,15.27835388543184
Bangwe,mean_wt_percent_Mixed,1.23,1.71,38.807071361453474,16.11547288403756
Bangwe,mean_wt_percent_Mixed,1.25,1.55,25.58249428164276,2.890895804226844
Bangwe,mean_wt_percent_Mixed,1.25,1.57,26.247579788905096,3.5559813114891803
Bangwe,mean_wt_percent_Mixed,1.25,1.59,26.546255801032633,3.854657323616717
Bangwe,mean_wt_percent_Mixed,1.25,1.61,27.337302141527882,4.6457036641119664
Bangwe,mean_wt_percent_Mixed,1.25,1.6300000000000001,28.28426575680767,5.592667279391755
Bangwe,mean_wt_percent_Mixed,1.25,1.6500000000000001,28.90866622542289,6.217067748006976
Bangwe,mean_wt_percent_Mixed,1.25,1.67,29.464884630428955,6.773286153013039
Bangwe,mean_wt_percent_Mixed,1.25,1.69,30.956319306692205,8.264720829276289
Bangwe,mean_wt_percent_Mixed,1.25,1.71,31.791233626549957,9.099635149134041
Bangwe,mean_wt_percent_Mixed,1.27,1.55,23.571596300791217,0.8799978233753016
Bangwe,mean_wt_percent_Mixed,1.27,1.57,24.23668843675596,1.545089959340043
Bangwe,mean_wt_percent_Mixed,1.27,1.59,24.53589799855741,1.8442995211414939
Bangwe,mean_wt_percent_Mixed,1.27,1.61,25.326351417178866,2.6347529397629508
Bangwe,mean_wt_percent_Mixed,1.27,1.6300000000000001,26.272685685231934,3.5810872078160187
Bangwe,mean_wt_percent_Mixed,1.27,1.6500000000000001,26.897491125516805,4.205892648100889
Bangwe,mean_wt_percent_Mixed,1.27,1.67,27.496924304206,4.805325826790085
Bangwe,mean_wt_percent_Mixed,1.27,1.69,28.985803168556036,6.29420469114012
Bangwe,mean_wt_percent_Mixed,1.27,1.71,29.778935934652097,7.087337457236181
Bangwe,mean_wt_percent_Mixed,1.29,1.55,19.98986075815309,-2.7017377192628267
Bangwe,mean_wt_percent_Mixed,1.29,1.57,20.606359469487796,-2.08523900792812
Bangwe,mean_wt_percent_Mixed,1.29,1.59,20.95376817945215,-1.7378302979637645
Bangwe,mean_wt_percent_Mixed,1.29,1.61,21.744053973284654,-0.9475445041312618
Bangwe,mean_wt_percent_Mixed,1.29,1.6300000000000001,22.691598477415916,0
Bangwe,mean_wt_percent_Mixed,1.29,1.6500000000000001,23.31712635575181,0.6255278783358946
Bangwe,mean_wt_percent_Mixed,1.29,1.67,23.873518378562565,1.1819199011466495
Bangwe,mean_wt_percent_Mixed,1.29,1.69,25.365465830565736,2.67386735314982
Bangwe,mean_wt_percent_Mixed,1.29,1.71,26.198996495646004,3.507398018230088
Bangwe,mean_wt_percent_Mixed,1.31,1.55,17.4161646482257,-5.2754338291902165
Bangwe,mean_wt_percent_Mixed,1.31,1.57,18.031274794665773,-4.660323682750143
Bangwe,mean_wt_percent_Mixed,1.31,1.59,18.37954113414754,-4.312057343268375
Bangwe,mean_wt_percent_Mixed,1.31,1.61,19.123606082649243,-3.567992394766673
Bangwe,mean_wt_percent_Mixed,1.31,1.6300000000000001,20.071151157877743,-2.6204473195381723
Bangwe,mean_wt_percent_Mixed,1.31,1.6500000000000001,20.74311059360034,-1.9484878838155772
Bangwe,mean_wt_percent_Mixed,1.31,1.67,21.29944998309847,-1.3921484943174463
Bangwe,mean_wt_percent_Mixed,1.31,1.69,22.791495129694212,0.09989665227829647
Bangwe,mean_wt_percent_Mixed,1.31,1.71,23.624953614728927,0.9333551373130113
Bangwe,mean_wt_percent_Mixed,1.33,1.55,17.011277631271383,-5.680320846144532
Bangwe,mean_wt_percent_Mixed,1.33,1.57,17.62562524323536,-5.065973234180557
Bangwe,mean_wt_percent_Mixed,1.33,1.59,17.974367409691613,-4.717231067724303
Bangwe,mean_wt_percent_Mixed,1.33,1.61,18.717919372697306,-3.9736791047186095
Bangwe,mean_wt_percent_Mixed,1.33,1.6300000000000001,19.665501148737057,-3.0260973286788584
Bangwe,mean_wt_percent_Mixed,1.33,1.6500000000000001,20.337861755462622,-2.353736721953293
