settlement_id,aae_range,observation_count,mean_ebc,sd_ebc,median_ebc,total_obs,pct_obs,wt_av_ebc,sum_ebc,wt_percent
Bangwe,bb,102,3.277385431090196,1.8896326080657784,2.80048,260,39.2,1.284735088987357,9.844144294054129,13.050754342998996
Bangwe,Mixed,99,6.097317025746489,3.7116535222942137,6.2936000000000005,260,38.1,2.3230777868094123,9.844144294054129,23.59857512666239
Bangwe,ff,59,27.472825631089684,35.01860689778738,13.8728,260,22.7,6.236331418257358,9.844144294054129,63.350670530338604
Chirimba,bb,322,2.1287511486807453,1.185015220669084,1.7982000000000002,523,61.6,1.3113107075873394,2.804002749955819,46.765671239373816
Chirimba,Mixed,170,3.7943252352777037,3.460127866480115,2.492,523,32.5,1.2331557014652537,2.804002749955819,43.97840556628141
Chirimba,ff,31,4.398921032258064,3.8488092937476606,2.5642400000000003,523,5.9,0.2595363409032258,2.804002749955819,9.255923194344769
Kacheri,bb,81,1.8367530864197532,0.7559085158083648,1.7624000000000002,311,26,0.4775558024691358,4.3415729060071255,10.99960343423868
Kacheri,Mixed,149,3.5119557046979866,2.7560677210764983,2.6464000000000003,311,47.9,1.6822267825503354,4.3415729060071255,38.746943077306334
Kacheri,ff,81,8.391501234567901,5.306444467543542,6.8098,311,26,2.181790320987654,4.3415729060071255,50.25345348845498
Ndirande,bb,86,2.0654688747377117,1.6200267147744207,1.5512000000000001,263,32.7,0.6754083220392317,3.1676461309626447,21.32208883553466
Ndirande,Mixed,146,2.0148053702263233,0.9499000750391088,1.6893000000000002,263,55.5,1.1182169804756095,3.1676461309626447,35.30119635351391
Ndirande,ff,31,11.64424430887969,17.076173645848858,3.9411679582208006,263,11.8,1.3740208284478035,3.1676461309626447,43.376714810951434
