settlement_id,category,threshold1,threshold2,mean_wt_percent,difference
Ndirande,mean_wt_percent_Mixed,1.21,1.55,57.13839387601322,-13.477235025427838
Ndirande,mean_wt_percent_Mixed,1.21,1.57,61.57848691299665,-9.037141988444404
Ndirande,mean_wt_percent_Mixed,1.21,1.59,66.87072703545603,-3.744901865985028
Ndirande,mean_wt_percent_Mixed,1.21,1.61,70.64418456509723,0.0285556636561779
Ndirande,mean_wt_percent_Mixed,1.21,1.6300000000000001,74.44095677947915,3.8253278780380953
Ndirande,mean_wt_percent_Mixed,1.21,1.6500000000000001,79.52804976846899,8.912420867027933
Ndirande,mean_wt_percent_Mixed,1.21,1.67,82.60408260097977,11.98845369953871
Ndirande,mean_wt_percent_Mixed,1.21,1.69,84.4139520524745,13.798323151033443
Ndirande,mean_wt_percent_Mixed,1.21,1.71,85.85628974973973,15.240660848298674
Ndirande,mean_wt_percent_Mixed,1.23,1.55,57.01277758610232,-13.60285131533874
Ndirande,mean_wt_percent_Mixed,1.23,1.57,61.45227143536841,-9.163357466072647
Ndirande,mean_wt_percent_Mixed,1.23,1.59,66.7440747648149,-3.871554136626159
Ndirande,mean_wt_percent_Mixed,1.23,1.61,70.48510459157107,-0.1305243098699833
Ndirande,mean_wt_percent_Mixed,1.23,1.6300000000000001,74.313484499682,3.697855598240949
Ndirande,mean_wt_percent_Mixed,1.23,1.6500000000000001,79.40013125903207,8.784502357591009
Ndirande,mean_wt_percent_Mixed,1.23,1.67,82.47575555016992,11.860126648728865
Ndirande,mean_wt_percent_Mixed,1.23,1.69,84.28542406278993,13.669795161348873
Ndirande,mean_wt_percent_Mixed,1.23,1.71,85.72762730323791,15.111998401796853
Ndirande,mean_wt_percent_Mixed,1.25,1.55,55.59464571975141,-15.020983181689644
Ndirande,mean_wt_percent_Mixed,1.25,1.57,60.03410659067225,-10.581522310768804
Ndirande,mean_wt_percent_Mixed,1.25,1.59,65.32591859107035,-5.289710310370708
Ndirande,mean_wt_percent_Mixed,1.25,1.61,69.06682708116296,-1.5488018202781006
Ndirande,mean_wt_percent_Mixed,1.25,1.6300000000000001,72.89537887450986,2.279749973068803
Ndirande,mean_wt_percent_Mixed,1.25,1.6500000000000001,77.9820556622872,7.366426760846139
Ndirande,mean_wt_percent_Mixed,1.25,1.67,81.05751353891563,10.441884637474573
Ndirande,mean_wt_percent_Mixed,1.25,1.69,82.86717291676689,12.251544015325834
Ndirande,mean_wt_percent_Mixed,1.25,1.71,84.30949292203921,13.693864020598156
Ndirande,mean_wt_percent_Mixed,1.27,1.55,54.24958396666268,-16.36604493477838
Ndirande,mean_wt_percent_Mixed,1.27,1.57,58.6890047329071,-11.926624168533955
Ndirande,mean_wt_percent_Mixed,1.27,1.59,63.98082160822365,-6.634807293217406
Ndirande,mean_wt_percent_Mixed,1.27,1.61,67.72160012213355,-2.8940287793075044
Ndirande,mean_wt_percent_Mixed,1.27,1.6300000000000001,71.51949578220699,0.903866880765932
Ndirande,mean_wt_percent_Mixed,1.27,1.6500000000000001,76.6116727544995,5.996043853058438
Ndirande,mean_wt_percent_Mixed,1.27,1.67,79.71231458772692,9.096685686285866
Ndirande,mean_wt_percent_Mixed,1.27,1.69,81.52196255047785,10.906333649036796
Ndirande,mean_wt_percent_Mixed,1.27,1.71,82.96439321290708,12.348764311466027
Ndirande,mean_wt_percent_Mixed,1.29,1.55,53.31331556584624,-17.302313335594818
Ndirande,mean_wt_percent_Mixed,1.29,1.57,57.75327147189905,-12.862357429542008
Ndirande,mean_wt_percent_Mixed,1.29,1.59,63.04537535671756,-7.570253544723499
Ndirande,mean_wt_percent_Mixed,1.29,1.61,66.78646294702527,-3.8291659544157852
Ndirande,mean_wt_percent_Mixed,1.29,1.6300000000000001,70.61562890144106,0
Ndirande,mean_wt_percent_Mixed,1.29,1.6500000000000001,75.70265604788888,5.087027146447824
Ndirande,mean_wt_percent_Mixed,1.29,1.67,78.77818203638557,8.162553134944517
Ndirande,mean_wt_percent_Mixed,1.29,1.69,80.58800225860536,9.972373357164301
Ndirande,mean_wt_percent_Mixed,1.29,1.71,82.030647852421,11.415018950979942
Ndirande,mean_wt_percent_Mixed,1.31,1.55,50.03697459298652,-20.57865430845454
Ndirande,mean_wt_percent_Mixed,1.31,1.57,54.47671379507065,-16.138915106370405
Ndirande,mean_wt_percent_Mixed,1.31,1.59,59.76873075877713,-10.846898142663925
Ndirande,mean_wt_percent_Mixed,1.31,1.61,63.5095147218712,-7.1061141795698575
Ndirande,mean_wt_percent_Mixed,1.31,1.6300000000000001,67.33884442918547,-3.276784472255585
Ndirande,mean_wt_percent_Mixed,1.31,1.6500000000000001,72.42584021592569,1.8102113144846328
Ndirande,mean_wt_percent_Mixed,1.31,1.67,75.50094587948156,4.885316978040507
Ndirande,mean_wt_percent_Mixed,1.31,1.69,77.31069394333937,6.695065041898317
Ndirande,mean_wt_percent_Mixed,1.31,1.71,78.753530505686,8.137901604244945
Ndirande,mean_wt_percent_Mixed,1.33,1.55,48.26035227935459,-22.355276622086464
Ndirande,mean_wt_percent_Mixed,1.33,1.57,52.705151422957044,-17.91047747848401
Ndirande,mean_wt_percent_Mixed,1.33,1.59,58.04821111633978,-12.567417785101277
Ndirande,mean_wt_percent_Mixed,1.33,1.61,61.788662987700604,-8.826965913740452
Ndirande,mean_wt_percent_Mixed,1.33,1.6300000000000001,65.5812125822282,-5.034416319212852
Ndirande,mean_wt_percent_Mixed,1.33,1.6500000000000001,70.6735769490462,0.057948047605137276
Ndirande,mean_wt_percent_Mixed,1.33,1.67,73.7797490112704,3.1641201098293408
Ndirande,mean_wt_percent_Mixed,1.33,1.69,75.58938816645869,4.973759265017634
Ndirande,mean_wt_percent_Mixed,1.33,1.71,77.00834533600941,6.3927164345683565
Ndirande,mean_wt_percent_Mixed,1.35,1.55,46.780759912520864,-23.834868988920192
Ndirande,mean_wt_percent_Mixed,1.35,1.57,51.2204296394172,-19.39519926202386
Ndirande,mean_wt_percent_Mixed,1.35,1.59,56.512436516271805,-14.103192385169251
Ndirande,mean_wt_percent_Mixed,1.35,1.61,60.25279224034943,-10.362836661091627
Ndirande,mean_wt_percent_Mixed,1.35,1.6300000000000001,64.0827473025818,-6.532881598859262
Ndirande,mean_wt_percent_Mixed,1.35,1.6500000000000001,69.16977213636758,-1.4458567650734722
